probe_id,timestamp,readable_time,selected_ip,in_dns_set,avg_rtt
60525,1759845050,2025-10-07 15:50:50,172.217.170.142,1,148.8431162
60958,1759845048,2025-10-07 15:50:48,172.217.12.142,1,3.1206994000000003
61181,1759845051,2025-10-07 15:50:51,142.250.203.142,1,10.5750545
61448,1759845056,2025-10-07 15:50:56,64.233.166.91,1,14.722345100000002
61476,1759845048,2025-10-07 15:50:48,142.250.200.110,1,23.4345151
62093,1759845051,2025-10-07 15:50:51,142.250.201.174,1,6.968116499999999
62174,1759845055,2025-10-07 15:50:55,142.250.140.190,1,7.197204900000001
62732,1759845056,2025-10-07 15:50:56,142.250.186.78,1,8.3773507
62917,1759845058,2025-10-07 15:50:58,142.250.196.238,1,61.8247118
63046,1759845050,2025-10-07 15:50:50,142.250.184.206,1,44.133068099999996
65505,1759845054,2025-10-07 15:50:54,142.250.75.14,0,85.7561045
65507,1759845057,2025-10-07 15:50:57,216.58.211.14,1,13.9438821
65581,1759845052,2025-10-07 15:50:52,142.250.200.142,1,14.3663714
65779,1759845058,2025-10-07 15:50:58,142.251.9.190,1,26.680420299999998
1000358,1759845091,2025-10-07 15:51:31,216.58.206.78,0,-1
1003233,1759845096,2025-10-07 15:51:36,172.217.175.238,0,7.851845
1003512,1759845101,2025-10-07 15:51:41,142.251.37.110,1,3.9194708999999994
1003539,1759845095,2025-10-07 15:51:35,142.250.201.174,1,4.971188400000001
1003842,1759845101,2025-10-07 15:51:41,172.217.168.78,1,6.581330599999999
1005046,1759845091,2025-10-07 15:51:31,142.251.36.238,1,32.845226800000006
1005339,1759845099,2025-10-07 15:51:39,64.233.165.198,1,32.5065022
1005737,1759845097,2025-10-07 15:51:37,142.250.203.174,1,3.762185799999999
1005819,1759845094,2025-10-07 15:51:34,173.194.68.190,1,28.857926900000002
1007642,1759845105,2025-10-07 15:51:45,142.250.179.78,1,8.9351437
1008266,1759845093,2025-10-07 15:51:33,142.250.72.110,1,8.211857499999997
1009428,1759845103,2025-10-07 15:51:43,142.250.179.206,1,1.8398649000000002
1009611,1759845093,2025-10-07 15:51:33,142.250.184.238,1,2.3089120999999997
1010509,1759845101,2025-10-07 15:51:41,142.250.74.78,1,1.7119085000000003
1010615,1759845100,2025-10-07 15:51:40,216.58.206.46,1,0.6903116
1010732,1759845096,2025-10-07 15:51:36,172.217.24.78,1,56.669794100000004
1010815,1759845101,2025-10-07 15:51:41,172.253.116.136,1,21.6391655
1011229,1759845093,2025-10-07 15:51:33,142.250.76.14,1,35.058246800000006
1012170,1759845100,2025-10-07 15:51:40,142.251.36.46,1,0.8385851000000001
1012349,1759845093,2025-10-07 15:51:33,142.250.198.206,1,1.1542672
50201,1759845060,2025-10-07 15:51:00,64.233.180.190,1,35.451662500000005
51062,1759845081,2025-10-07 15:51:21,142.250.179.206,1,13.033095999999997
51802,1759845088,2025-10-07 15:51:28,172.217.165.14,1,8.6503166
51943,1759845084,2025-10-07 15:51:24,142.250.189.206,1,27.453841599999997
52969,1759845088,2025-10-07 15:51:28,142.250.200.110,1,8.898629099999999
53309,1759845067,2025-10-07 15:51:07,142.250.186.142,1,5.469004099999999
54268,1759845088,2025-10-07 15:51:28,142.250.81.238,1,6.484637400000001
54627,1759845061,2025-10-07 15:51:01,209.85.233.198,1,42.7226876
54647,1759845076,2025-10-07 15:51:16,216.58.209.46,1,19.463562500000002
54670,1759845060,2025-10-07 15:51:00,142.250.186.206,1,7.425358300000001
54949,1759845085,2025-10-07 15:51:25,142.251.36.110,0,28.361875200000004
54969,1759845086,2025-10-07 15:51:26,142.250.185.142,1,7.8751625
55012,1759845081,2025-10-07 15:51:21,216.239.38.119,1,16.3311958
55290,1759845082,2025-10-07 15:51:22,142.250.74.238,0,8.028478999999999
55515,1759845061,2025-10-07 15:51:01,142.250.76.110,1,14.0419042
